geo_key,county_name,electoral_district_name,township_name,village_name,candidate_no,candidate_name,party_name,gender,age,incumbent,elected_note,votes,vote_percentage,valid_votes,invalid_votes,total_votes,electorate,turnout_ratio,prov_city,county_city,electoral_district,township,village
'01'000'001001,NA,NA,NA,立農里,3,鄭光照,NA,'1,57,N,NA,18,0.32,5614,57,5671,7197,78.8,'01,'000,'01,'001,'0017
'01'000'001001,NA,NA,NA,立農里,4,丁守中,NA,'1,58,Y,*,3032,54.01,5614,57,5671,7197,78.8,'01,'000,'01,'001,'0017
'01'000'001001,NA,NA,NA,立農里,5,楊烈,NA,'1,60,N,NA,2383,42.45,5614,57,5671,7197,78.8,'01,'000,'01,'001,'0017
'01'000'001001,NA,NA,NA,八仙里,1,張育憬,NA,'2,42,N,NA,81,2.35,3440,40,3480,4487,77.56,'01,'000,'01,'001,'0018
'01'000'001001,NA,NA,NA,八仙里,2,張志傑,NA,'1,30,N,NA,41,1.19,3440,40,3480,4487,77.56,'01,'000,'01,'001,'0018
'01'000'001001,NA,NA,NA,八仙里,3,鄭光照,NA,'1,57,N,NA,17,0.49,3440,40,3480,4487,77.56,'01,'000,'01,'001,'0018
'01'000'001001,NA,NA,NA,八仙里,4,丁守中,NA,'1,58,Y,*,1793,52.12,3440,40,3480,4487,77.56,'01,'000,'01,'001,'0018
'01'000'001001,NA,NA,NA,八仙里,5,楊烈,NA,'1,60,N,NA,1508,43.84,3440,40,3480,4487,77.56,'01,'000,'01,'001,'0018
'01'000'001001,NA,NA,NA,洲美里,1,張育憬,NA,'2,42,N,NA,29,2.22,1307,18,1325,1750,75.71,'01,'000,'01,'001,'0019
'01'000'001001,NA,NA,NA,洲美里,2,張志傑,NA,'1,30,N,NA,10,0.77,1307,18,1325,1750,75.71,'01,'000,'01,'001,'0019
'01'000'001001,NA,NA,NA,洲美里,3,鄭光照,NA,'1,57,N,NA,8,0.61,1307,18,1325,1750,75.71,'01,'000,'01,'001,'0019
'01'000'001001,NA,NA,NA,洲美里,4,丁守中,NA,'1,58,Y,*,434,33.21,1307,18,1325,1750,75.71,'01,'000,'01,'001,'0019
'01'000'001001,NA,NA,NA,洲美里,5,楊烈,NA,'1,60,N,NA,826,63.2,1307,18,1325,1750,75.71,'01,'000,'01,'001,'0019
'01'000'001002,NA,NA,NA,奇岩里,1,張育憬,NA,'2,42,N,NA,141,2.36,5973,60,6033,7848,76.87,'01,'000,'01,'001,'0020
'01'000'001002,NA,NA,NA,奇岩里,2,張志傑,NA,'1,30,N,NA,66,1.1,5973,60,6033,7848,76.87,'01,'000,'01,'001,'0020
'01'000'001002,NA,NA,NA,奇岩里,3,鄭光照,NA,'1,57,N,NA,18,0.3,5973,60,6033,7848,76.87,'01,'000,'01,'001,'0020
'01'000'001002,NA,NA,NA,奇岩里,4,丁守中,NA,'1,58,Y,*,3272,54.78,5973,60,6033,7848,76.87,'01,'000,'01,'001,'0020
'01'000'001002,NA,NA,NA,奇岩里,5,楊烈,NA,'1,60,N,NA,2476,41.45,5973,60,6033,7848,76.87,'01,'000,'01,'001,'0020
'01'000'001002,NA,NA,NA,清江里,1,張育憬,NA,'2,42,N,NA,116,2.12,5468,71,5539,7898,70.13,'01,'000,'01,'001,'0021
'01'000'001002,NA,NA,NA,清江里,2,張志傑,NA,'1,30,N,NA,53,0.97,5468,71,5539,7898,70.13,'01,'000,'01,'001,'0021
'01'000'001002,NA,NA,NA,清江里,3,鄭光照,NA,'1,57,N,NA,28,0.51,5468,71,5539,7898,70.13,'01,'000,'01,'001,'0021
'01'000'001002,NA,NA,NA,清江里,4,丁守中,NA,'1,58,Y,*,2757,50.42,5468,71,5539,7898,70.13,'01,'000,'01,'001,'0021
'01'000'001002,NA,NA,NA,清江里,5,楊烈,NA,'1,60,N,NA,2514,45.98,5468,71,5539,7898,70.13,'01,'000,'01,'001,'0021
'01'000'001002,NA,NA,NA,中央里,1,張育憬,NA,'2,42,N,NA,117,2.21,5301,79,5380,7052,76.29,'01,'000,'01,'001,'0022
'01'000'001002,NA,NA,NA,中央里,2,張志傑,NA,'1,30,N,NA,48,0.91,5301,79,5380,7052,76.29,'01,'000,'01,'001,'0022
'01'000'001002,NA,NA,NA,中央里,3,鄭光照,NA,'1,57,N,NA,23,0.43,5301,79,5380,7052,76.29,'01,'000,'01,'001,'0022
'01'000'001002,NA,NA,NA,中央里,4,丁守中,NA,'1,58,Y,*,2611,49.25,5301,79,5380,7052,76.29,'01,'000,'01,'001,'0022
'01'000'001002,NA,NA,NA,中央里,5,楊烈,NA,'1,60,N,NA,2502,47.2,5301,79,5380,7052,76.29,'01,'000,'01,'001,'0022
'01'000'001002,NA,NA,NA,長安里,1,張育憬,NA,'2,42,N,NA,74,2.09,3541,47,3588,4828,74.32,'01,'000,'01,'001,'0023
'01'000'001002,NA,NA,NA,長安里,2,張志傑,NA,'1,30,N,NA,33,0.93,3541,47,3588,4828,74.32,'01,'000,'01,'001,'0023
'01'000'001002,NA,NA,NA,長安里,3,鄭光照,NA,'1,57,N,NA,16,0.45,3541,47,3588,4828,74.32,'01,'000,'01,'001,'0023
'01'000'001002,NA,NA,NA,長安里,4,丁守中,NA,'1,58,Y,*,1879,53.06,3541,47,3588,4828,74.32,'01,'000,'01,'001,'0023
'01'000'001002,NA,NA,NA,長安里,5,楊烈,NA,'1,60,N,NA,1539,43.46,3541,47,3588,4828,74.32,'01,'000,'01,'001,'0023
'01'000'001002,NA,NA,NA,大同里,1,張育憬,NA,'2,42,N,NA,76,2.08,3653,58,3711,4833,76.78,'01,'000,'01,'001,'0024
'01'000'001002,NA,NA,NA,大同里,2,張志傑,NA,'1,30,N,NA,49,1.34,3653,58,3711,4833,76.78,'01,'000,'01,'001,'0024
'01'000'001002,NA,NA,NA,大同里,3,鄭光照,NA,'1,57,N,NA,13,0.36,3653,58,3711,4833,76.78,'01,'000,'01,'001,'0024
'01'000'001002,NA,NA,NA,大同里,4,丁守中,NA,'1,58,Y,*,1824,49.93,3653,58,3711,4833,76.78,'01,'000,'01,'001,'0024
'01'000'001002,NA,NA,NA,大同里,5,楊烈,NA,'1,60,N,NA,1691,46.29,3653,58,3711,4833,76.78,'01,'000,'01,'001,'0024
'01'000'001002,NA,NA,NA,溫泉里,1,張育憬,NA,'2,42,N,NA,77,1.87,4114,60,4174,5451,76.57,'01,'000,'01,'001,'0025
'01'000'001002,NA,NA,NA,溫泉里,2,張志傑,NA,'1,30,N,NA,35,0.85,4114,60,4174,5451,76.57,'01,'000,'01,'001,'0025
'01'000'001002,NA,NA,NA,溫泉里,3,鄭光照,NA,'1,57,N,NA,14,0.34,4114,60,4174,5451,76.57,'01,'000,'01,'001,'0025
'01'000'001002,NA,NA,NA,溫泉里,4,丁守中,NA,'1,58,Y,*,2180,52.99,4114,60,4174,5451,76.57,'01,'000,'01,'001,'0025
'01'000'001002,NA,NA,NA,溫泉里,5,楊烈,NA,'1,60,N,NA,1808,43.95,4114,60,4174,5451,76.57,'01,'000,'01,'001,'0025
'01'000'001002,NA,NA,NA,林泉里,1,張育憬,NA,'2,42,N,NA,55,2.79,1972,31,2003,2812,71.23,'01,'000,'01,'001,'0026
'01'000'001002,NA,NA,NA,林泉里,2,張志傑,NA,'1,30,N,NA,29,1.47,1972,31,2003,2812,71.23,'01,'000,'01,'001,'0026
'01'000'001002,NA,NA,NA,林泉里,3,鄭光照,NA,'1,57,N,NA,10,0.51,1972,31,2003,2812,71.23,'01,'000,'01,'001,'0026
